"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2015","All-items HICP (COICOP 00)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Clothing and footwear (COICOP 03)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Health (COICOP 06)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Transport (COICOP 07)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Communications (COICOP 08)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Recreation and culture (COICOP 09)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Education (COICOP 10)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Restaurants and hotels (COICOP 11)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2015","Miscellaneous goods and services (COICOP 12)","Base 2015=100","100"
"Harmonised Index of Consumer Prices","2016","All-items HICP (COICOP 00)","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2016","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","98.7"
"Harmonised Index of Consumer Prices","2016","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","101.5"
"Harmonised Index of Consumer Prices","2016","Clothing and footwear (COICOP 03)","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2016","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","101.5"
"Harmonised Index of Consumer Prices","2016","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","96.8"
"Harmonised Index of Consumer Prices","2016","Health (COICOP 06)","Base 2015=100","100.7"
"Harmonised Index of Consumer Prices","2016","Transport (COICOP 07)","Base 2015=100","96.5"
"Harmonised Index of Consumer Prices","2016","Communications (COICOP 08)","Base 2015=100","98.8"
"Harmonised Index of Consumer Prices","2016","Recreation and culture (COICOP 09)","Base 2015=100","98.9"
"Harmonised Index of Consumer Prices","2016","Education (COICOP 10)","Base 2015=100","103.3"
"Harmonised Index of Consumer Prices","2016","Restaurants and hotels (COICOP 11)","Base 2015=100","102"
"Harmonised Index of Consumer Prices","2016","Miscellaneous goods and services (COICOP 12)","Base 2015=100","100.5"
"Harmonised Index of Consumer Prices","2017","All-items HICP (COICOP 00)","Base 2015=100","100.1"
"Harmonised Index of Consumer Prices","2017","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","96.6"
"Harmonised Index of Consumer Prices","2017","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","102.2"
"Harmonised Index of Consumer Prices","2017","Clothing and footwear (COICOP 03)","Base 2015=100","93.4"
"Harmonised Index of Consumer Prices","2017","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","104.5"
"Harmonised Index of Consumer Prices","2017","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","92.7"
"Harmonised Index of Consumer Prices","2017","Health (COICOP 06)","Base 2015=100","101.6"
"Harmonised Index of Consumer Prices","2017","Transport (COICOP 07)","Base 2015=100","98.6"
"Harmonised Index of Consumer Prices","2017","Communications (COICOP 08)","Base 2015=100","98.6"
"Harmonised Index of Consumer Prices","2017","Recreation and culture (COICOP 09)","Base 2015=100","97"
"Harmonised Index of Consumer Prices","2017","Education (COICOP 10)","Base 2015=100","105.1"
"Harmonised Index of Consumer Prices","2017","Restaurants and hotels (COICOP 11)","Base 2015=100","104.4"
"Harmonised Index of Consumer Prices","2017","Miscellaneous goods and services (COICOP 12)","Base 2015=100","98.4"
"Harmonised Index of Consumer Prices","2018","All-items HICP (COICOP 00)","Base 2015=100","100.8"
"Harmonised Index of Consumer Prices","2018","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","94.7"
"Harmonised Index of Consumer Prices","2018","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","105.1"
"Harmonised Index of Consumer Prices","2018","Clothing and footwear (COICOP 03)","Base 2015=100","91.9"
"Harmonised Index of Consumer Prices","2018","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","111.3"
"Harmonised Index of Consumer Prices","2018","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","89.1"
"Harmonised Index of Consumer Prices","2018","Health (COICOP 06)","Base 2015=100","101.9"
"Harmonised Index of Consumer Prices","2018","Transport (COICOP 07)","Base 2015=100","99.4"
"Harmonised Index of Consumer Prices","2018","Communications (COICOP 08)","Base 2015=100","97.7"
"Harmonised Index of Consumer Prices","2018","Recreation and culture (COICOP 09)","Base 2015=100","96"
"Harmonised Index of Consumer Prices","2018","Education (COICOP 10)","Base 2015=100","106.7"
"Harmonised Index of Consumer Prices","2018","Restaurants and hotels (COICOP 11)","Base 2015=100","106.6"
"Harmonised Index of Consumer Prices","2018","Miscellaneous goods and services (COICOP 12)","Base 2015=100","96.2"
"Harmonised Index of Consumer Prices","2019","All-items HICP (COICOP 00)","Base 2015=100","101.7"
"Harmonised Index of Consumer Prices","2019","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","94"
"Harmonised Index of Consumer Prices","2019","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","108"
"Harmonised Index of Consumer Prices","2019","Clothing and footwear (COICOP 03)","Base 2015=100","90.6"
"Harmonised Index of Consumer Prices","2019","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","115.8"
"Harmonised Index of Consumer Prices","2019","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","86.3"
"Harmonised Index of Consumer Prices","2019","Health (COICOP 06)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2019","Transport (COICOP 07)","Base 2015=100","99.6"
"Harmonised Index of Consumer Prices","2019","Communications (COICOP 08)","Base 2015=100","92.5"
"Harmonised Index of Consumer Prices","2019","Recreation and culture (COICOP 09)","Base 2015=100","96.7"
"Harmonised Index of Consumer Prices","2019","Education (COICOP 10)","Base 2015=100","109.2"
"Harmonised Index of Consumer Prices","2019","Restaurants and hotels (COICOP 11)","Base 2015=100","109.7"
"Harmonised Index of Consumer Prices","2019","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.9"
"Harmonised Index of Consumer Prices","2020","All-items HICP (COICOP 00)","Base 2015=100","101.2"
"Harmonised Index of Consumer Prices","2020","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","92.7"
"Harmonised Index of Consumer Prices","2020","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","110.6"
"Harmonised Index of Consumer Prices","2020","Clothing and footwear (COICOP 03)","Base 2015=100","87.3"
"Harmonised Index of Consumer Prices","2020","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","113.4"
"Harmonised Index of Consumer Prices","2020","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","83.6"
"Harmonised Index of Consumer Prices","2020","Health (COICOP 06)","Base 2015=100","105.2"
"Harmonised Index of Consumer Prices","2020","Transport (COICOP 07)","Base 2015=100","97.8"
"Harmonised Index of Consumer Prices","2020","Communications (COICOP 08)","Base 2015=100","86.1"
"Harmonised Index of Consumer Prices","2020","Recreation and culture (COICOP 09)","Base 2015=100","98"
"Harmonised Index of Consumer Prices","2020","Education (COICOP 10)","Base 2015=100","112.5"
"Harmonised Index of Consumer Prices","2020","Restaurants and hotels (COICOP 11)","Base 2015=100","111"
"Harmonised Index of Consumer Prices","2020","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.7"
"Harmonised Index of Consumer Prices","2021","All-items HICP (COICOP 00)","Base 2015=100","103.6"
"Harmonised Index of Consumer Prices","2021","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","92.5"
"Harmonised Index of Consumer Prices","2021","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","113.2"
"Harmonised Index of Consumer Prices","2021","Clothing and footwear (COICOP 03)","Base 2015=100","84.6"
"Harmonised Index of Consumer Prices","2021","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","120.7"
"Harmonised Index of Consumer Prices","2021","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","83.3"
"Harmonised Index of Consumer Prices","2021","Health (COICOP 06)","Base 2015=100","107.8"
"Harmonised Index of Consumer Prices","2021","Transport (COICOP 07)","Base 2015=100","104.2"
"Harmonised Index of Consumer Prices","2021","Communications (COICOP 08)","Base 2015=100","86.4"
"Harmonised Index of Consumer Prices","2021","Recreation and culture (COICOP 09)","Base 2015=100","99.1"
"Harmonised Index of Consumer Prices","2021","Education (COICOP 10)","Base 2015=100","112.7"
"Harmonised Index of Consumer Prices","2021","Restaurants and hotels (COICOP 11)","Base 2015=100","114.4"
"Harmonised Index of Consumer Prices","2021","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.2"
"Harmonised Index of Consumer Prices","2022","All-items HICP (COICOP 00)","Base 2015=100","112"
"Harmonised Index of Consumer Prices","2022","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","98.9"
"Harmonised Index of Consumer Prices","2022","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","122.2"
"Harmonised Index of Consumer Prices","2022","Clothing and footwear (COICOP 03)","Base 2015=100","86.4"
"Harmonised Index of Consumer Prices","2022","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","149.7"
"Harmonised Index of Consumer Prices","2022","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","86.2"
"Harmonised Index of Consumer Prices","2022","Health (COICOP 06)","Base 2015=100","108.5"
"Harmonised Index of Consumer Prices","2022","Transport (COICOP 07)","Base 2015=100","118.9"
"Harmonised Index of Consumer Prices","2022","Communications (COICOP 08)","Base 2015=100","88.9"
"Harmonised Index of Consumer Prices","2022","Recreation and culture (COICOP 09)","Base 2015=100","101.7"
"Harmonised Index of Consumer Prices","2022","Education (COICOP 10)","Base 2015=100","110.1"
"Harmonised Index of Consumer Prices","2022","Restaurants and hotels (COICOP 11)","Base 2015=100","121.2"
"Harmonised Index of Consumer Prices","2022","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.4"
"Harmonised Index of Consumer Prices","2023","All-items HICP (COICOP 00)","Base 2015=100","117.8"
"Harmonised Index of Consumer Prices","2023","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","108.6"
"Harmonised Index of Consumer Prices","2023","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","127.8"
"Harmonised Index of Consumer Prices","2023","Clothing and footwear (COICOP 03)","Base 2015=100","89.3"
"Harmonised Index of Consumer Prices","2023","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","165.8"
"Harmonised Index of Consumer Prices","2023","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","88.3"
"Harmonised Index of Consumer Prices","2023","Health (COICOP 06)","Base 2015=100","108.3"
"Harmonised Index of Consumer Prices","2023","Transport (COICOP 07)","Base 2015=100","119"
"Harmonised Index of Consumer Prices","2023","Communications (COICOP 08)","Base 2015=100","90"
"Harmonised Index of Consumer Prices","2023","Recreation and culture (COICOP 09)","Base 2015=100","109.6"
"Harmonised Index of Consumer Prices","2023","Education (COICOP 10)","Base 2015=100","105.3"
"Harmonised Index of Consumer Prices","2023","Restaurants and hotels (COICOP 11)","Base 2015=100","130.7"
"Harmonised Index of Consumer Prices","2023","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.5"
"Harmonised Index of Consumer Prices","2024","All-items HICP (COICOP 00)","Base 2015=100","119.4"
"Harmonised Index of Consumer Prices","2024","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","111.4"
"Harmonised Index of Consumer Prices","2024","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","132.6"
"Harmonised Index of Consumer Prices","2024","Clothing and footwear (COICOP 03)","Base 2015=100","83.8"
"Harmonised Index of Consumer Prices","2024","Housing, water, electricity, gas and other fuels (COICOP 04)","Base 2015=100","160.4"
"Harmonised Index of Consumer Prices","2024","Furnishings, household equipment and routine household maintenance (COICOP 05)","Base 2015=100","87.6"
"Harmonised Index of Consumer Prices","2024","Health (COICOP 06)","Base 2015=100","109.4"
"Harmonised Index of Consumer Prices","2024","Transport (COICOP 07)","Base 2015=100","122.2"
"Harmonised Index of Consumer Prices","2024","Communications (COICOP 08)","Base 2015=100","91"
"Harmonised Index of Consumer Prices","2024","Recreation and culture (COICOP 09)","Base 2015=100","114.5"
"Harmonised Index of Consumer Prices","2024","Education (COICOP 10)","Base 2015=100","107.5"
"Harmonised Index of Consumer Prices","2024","Restaurants and hotels (COICOP 11)","Base 2015=100","136.8"
"Harmonised Index of Consumer Prices","2024","Miscellaneous goods and services (COICOP 12)","Base 2015=100","95.7"
